O*NET-SOC Code,Title,Workplace Example,Element Name,Hot Technology,In Demand,Skill_Category
15-1241.01,Telecommunications Engineering Specialists,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1241.01,Telecommunications Engineering Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1241.01,Telecommunications Engineering Specialists,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1241.01,Telecommunications Engineering Specialists,Python,Object or component oriented development software,Y,N,Data Analytics
15-1241.01,Telecommunications Engineering Specialists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-1242.00,Database Administrators,Database security software,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1242.00,Database Administrators,Micosoft SQL Server Analysis Services SSAS,Business intelligence and data analysis software,N,N,Data Analytics
15-1242.00,Database Administrators,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Microsoft SQL Server,Data base user interface and query software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1242.00,Database Administrators,MySQL,Data base user interface and query software,Y,Y,Data Analytics
15-1242.00,Database Administrators,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1242.00,Database Administrators,NoSQL,Data base management system software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Oracle PL/SQL,Data base management system software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Oracle SQL Developer,Development environment software,Y,N,Data Analytics
15-1242.00,Database Administrators,PostgreSQL,Object oriented data base management software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Redgate SQL Server,Administration software,N,N,Data Analytics
15-1242.00,Database Administrators,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1242.00,Database Administrators,Transact-SQL,Object oriented data base management software,Y,Y,Data Analytics
15-1243.00,Database Architects,Data Recovery Software SQL Server Data Recovery,Backup or archival software,N,N,Data Analytics
15-1243.00,Database Architects,Database security software,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1243.00,Database Architects,Micosoft SQL Server Analysis Services SSAS,Business intelligence and data analysis software,N,N,Data Analytics
15-1243.00,Database Architects,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1243.00,Database Architects,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1243.00,Database Architects,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1243.00,Database Architects,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1243.00,Database Architects,MySQL,Data base management system software,Y,N,Data Analytics
15-1243.00,Database Architects,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1243.00,Database Architects,NoSQL,Data base management system software,Y,N,Data Analytics
15-1243.00,Database Architects,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1243.00,Database Architects,Oracle SQL Developer,Development environment software,Y,N,Data Analytics
15-1243.00,Database Architects,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1243.00,Database Architects,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1243.00,Database Architects,Redgate SQL Server,Administration software,N,N,Data Analytics
15-1243.00,Database Architects,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1243.00,Database Architects,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1243.00,Database Architects,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1243.01,Data Warehousing Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,MySQL,Data base user interface and query software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1243.01,Data Warehousing Specialists,NoSQL,Data base management system software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1243.01,Data Warehousing Specialists,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1243.01,Data Warehousing Specialists,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1243.01,Data Warehousing Specialists,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-1243.01,Data Warehousing Specialists,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1244.00,Network and Computer Systems Administrators,Intrusion prevention system IPS,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1244.00,Network and Computer Systems Administrators,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,MySQL,Data base management system software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Network intrusion prevention systems NIPS,Network monitoring software,N,N,Cybersecurity
15-1244.00,Network and Computer Systems Administrators,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1244.00,Network and Computer Systems Administrators,NoSQL,Data base management system software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Security incident management software,Network security or virtual private network VPN management software,N,N,Cybersecurity
15-1244.00,Network and Computer Systems Administrators,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1244.00,Network and Computer Systems Administrators,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1251.00,Computer Programmers,Microsoft SQL Server,Data base user interface and query software,Y,Y,Data Analytics
15-1251.00,Computer Programmers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1251.00,Computer Programmers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1251.00,Computer Programmers,MySQL,Data base management system software,Y,N,Data Analytics
15-1251.00,Computer Programmers,Network intrusion prevention systems NIPS,Network monitoring software,N,N,Cybersecurity
15-1251.00,Computer Programmers,NoSQL,Data base management system software,Y,N,Data Analytics
15-1251.00,Computer Programmers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1251.00,Computer Programmers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1251.00,Computer Programmers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1251.00,Computer Programmers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1251.00,Computer Programmers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1251.00,Computer Programmers,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1252.00,Software Developers,Data analysis software,Analytical or scientific software,N,N,Data Analytics
15-1252.00,Software Developers,Firewall software,Network security and virtual private network VPN equipment software,N,N,Cybersecurity
15-1252.00,Software Developers,Microsoft Power BI,Business intelligence and data analysis software,Y,N,Data Analytics
15-1252.00,Software Developers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1252.00,Software Developers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1252.00,Software Developers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1252.00,Software Developers,Microsoft transact-structural query language T-SQL,Data base management system software,N,N,Data Analytics
15-1252.00,Software Developers,MySQL,Data base user interface and query software,Y,N,Data Analytics
15-1252.00,Software Developers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1252.00,Software Developers,NoSQL,Data base management system software,Y,Y,Data Analytics
15-1252.00,Software Developers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1252.00,Software Developers,Oracle SQL Developer,Development environment software,Y,N,Data Analytics
15-1252.00,Software Developers,PostgreSQL,Object oriented data base management software,Y,Y,Data Analytics
15-1252.00,Software Developers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1252.00,Software Developers,PyTorch,Data base user interface and query software,Y,N,AI
15-1252.00,Software Developers,Security testing software,Program testing software,N,N,Cybersecurity
15-1252.00,Software Developers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1252.00,Software Developers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1252.00,Software Developers,TensorFlow,Analytical or scientific software,Y,N,AI
15-1252.00,Software Developers,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Data analysis software,Analytical or scientific software,N,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Firewall software,Network security and virtual private network VPN equipment software,N,N,Cybersecurity
15-1253.00,Software Quality Assurance Analysts and Testers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Microsoft transact-structural query language T-SQL,Data base management system software,N,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,MySQL,Data base management system software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1253.00,Software Quality Assurance Analysts and Testers,NoSQL,Data base management system software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Security testing software,Program testing software,N,N,Cybersecurity
15-1253.00,Software Quality Assurance Analysts and Testers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1253.00,Software Quality Assurance Analysts and Testers,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1254.00,Web Developers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1254.00,Web Developers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1254.00,Web Developers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1254.00,Web Developers,MySQL,Data base management system software,Y,Y,Data Analytics
15-1254.00,Web Developers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1254.00,Web Developers,NoSQL,Data base management system software,Y,Y,Data Analytics
15-1254.00,Web Developers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1254.00,Web Developers,PostgreSQL,Object oriented data base management software,Y,Y,Data Analytics
15-1254.00,Web Developers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1254.00,Web Developers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1254.00,Web Developers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1254.00,Web Developers,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,MySQL,Data base management system software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1255.00,Web and Digital Interface Designers,NoSQL,Data base management system software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Python,Object or component oriented development software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1255.00,Web and Digital Interface Designers,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1255.01,Video Game Designers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1255.01,Video Game Designers,MySQL,Data base management system software,Y,N,Data Analytics
15-1255.01,Video Game Designers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1255.01,Video Game Designers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-1299.01,Web Administrators,Firewall software,Network security and virtual private network VPN equipment software,N,N,Cybersecurity
15-1299.01,Web Administrators,Juniper Networks NetScreen-Security Manager,Network security and virtual private network VPN equipment software,N,N,Cybersecurity
15-1299.01,Web Administrators,Microsoft SQL Server,Data base user interface and query software,Y,Y,Data Analytics
15-1299.01,Web Administrators,MySQL,Data base user interface and query software,Y,N,Data Analytics
15-1299.01,Web Administrators,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1299.01,Web Administrators,Python,Object or component oriented development software,Y,N,Data Analytics
15-1299.01,Web Administrators,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1299.02,Geographic Information Systems Technologists and Technicians,Microsoft SQL Server,Data base management system software,Y,N,Data Analytics
15-1299.02,Geographic Information Systems Technologists and Technicians,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1299.02,Geographic Information Systems Technologists and Technicians,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1299.02,Geographic Information Systems Technologists and Technicians,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1299.02,Geographic Information Systems Technologists and Technicians,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1299.02,Geographic Information Systems Technologists and Technicians,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1299.02,Geographic Information Systems Technologists and Technicians,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1299.03,Document Management Specialists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1299.03,Document Management Specialists,Oracle SQL Developer,Development environment software,Y,N,Data Analytics
15-1299.04,Penetration Testers,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1299.04,Penetration Testers,IBM QRadar SIEM,Network monitoring software,N,N,Cybersecurity
15-1299.04,Penetration Testers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1299.04,Penetration Testers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1299.04,Penetration Testers,Security assertion markup language SAML,Web platform development software,N,N,Cybersecurity
15-1299.04,Penetration Testers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-1299.05,Information Security Engineers,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1299.05,Information Security Engineers,IBM QRadar SIEM,Network monitoring software,N,N,Cybersecurity
15-1299.05,Information Security Engineers,McAfee Enterprise Security Manager,Risk management data and analysis software,N,N,Cybersecurity
15-1299.05,Information Security Engineers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1299.05,Information Security Engineers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1299.05,Information Security Engineers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1299.05,Information Security Engineers,NoSQL,Data base management system software,Y,N,Data Analytics
15-1299.05,Information Security Engineers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1299.05,Information Security Engineers,Security assertion markup language SAML,Web platform development software,N,N,Cybersecurity
15-1299.05,Information Security Engineers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-1299.06,Digital Forensics Analysts,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1299.06,Digital Forensics Analysts,IBM QRadar SIEM,Network monitoring software,N,N,Cybersecurity
15-1299.06,Digital Forensics Analysts,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1299.06,Digital Forensics Analysts,Security assertion markup language SAML,Web platform development software,N,N,Cybersecurity
15-1299.06,Digital Forensics Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1299.07,Blockchain Engineers,MySQL,Data base management system software,Y,N,Data Analytics
15-1299.07,Blockchain Engineers,NoSQL,Data base management system software,Y,N,Data Analytics
15-1299.07,Blockchain Engineers,PostgreSQL,Object oriented data base management software,Y,Y,Data Analytics
15-1299.07,Blockchain Engineers,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1299.07,Blockchain Engineers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Firewall software,Network security and virtual private network VPN equipment software,N,Y,Cybersecurity
15-1299.08,Computer Systems Engineers/Architects,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,MySQL,Data base management system software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Network intrusion prevention systems NIPS,Network monitoring software,N,N,Cybersecurity
15-1299.08,Computer Systems Engineers/Architects,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1299.08,Computer Systems Engineers/Architects,NoSQL,Data base management system software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Python,Object or component oriented development software,Y,Y,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1299.08,Computer Systems Engineers/Architects,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,MySQL,Data base management system software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-1299.09,Information Technology Project Managers,NoSQL,Data base management system software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,Python,Object or component oriented development software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-1299.09,Information Technology Project Managers,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-1299.09,Information Technology Project Managers,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-2011.00,Actuaries,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2011.00,Actuaries,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-2011.00,Actuaries,Python,Object or component oriented development software,Y,Y,Data Analytics
15-2011.00,Actuaries,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-2011.00,Actuaries,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2021.00,Mathematicians,MySQL,Data base management system software,Y,N,Data Analytics
15-2021.00,Mathematicians,Python,Object or component oriented development software,Y,Y,Data Analytics
15-2021.00,Mathematicians,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
15-2021.00,Mathematicians,Tableau,Business intelligence and data analysis software,Y,N,Data Analytics
15-2031.00,Operations Research Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2031.00,Operations Research Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-2031.00,Operations Research Analysts,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-2031.00,Operations Research Analysts,MySQL,Data base user interface and query software,Y,N,Data Analytics
15-2031.00,Operations Research Analysts,Python,Object or component oriented development software,Y,Y,Data Analytics
15-2031.00,Operations Research Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-2031.00,Operations Research Analysts,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2041.00,Statisticians,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-2041.00,Statisticians,Python,Object or component oriented development software,Y,Y,Data Analytics
15-2041.00,Statisticians,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-2041.00,Statisticians,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2041.01,Biostatisticians,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-2041.01,Biostatisticians,MySQL,Data base management system software,Y,N,Data Analytics
15-2041.01,Biostatisticians,Python,Object or component oriented development software,Y,Y,Data Analytics
15-2041.01,Biostatisticians,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-2051.00,Data Scientists,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2051.00,Data Scientists,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-2051.00,Data Scientists,NoSQL,Data base management system software,Y,N,Data Analytics
15-2051.00,Data Scientists,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-2051.00,Data Scientists,Python,Object or component oriented development software,Y,Y,Data Analytics
15-2051.00,Data Scientists,PyTorch,Data base user interface and query software,Y,Y,AI
15-2051.00,Data Scientists,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-2051.00,Data Scientists,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2051.00,Data Scientists,TensorFlow,Analytical or scientific software,Y,Y,AI
15-2051.01,Business Intelligence Analysts,Microsoft Power BI,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2051.01,Business Intelligence Analysts,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,Microsoft SQL Server Reporting Services SSRS,Data base reporting software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,MySQL,Data base management system software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,NortonLifeLock cybersecurity software,Transaction security and virus protection software,N,N,Cybersecurity
15-2051.01,Business Intelligence Analysts,NoSQL,Data base management system software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,Oracle PL/SQL,Data base management system software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,Oracle SQL Developer,Development environment software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
15-2051.01,Business Intelligence Analysts,Python,Object or component oriented development software,Y,Y,Data Analytics
15-2051.01,Business Intelligence Analysts,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-2051.01,Business Intelligence Analysts,Tableau,Business intelligence and data analysis software,Y,Y,Data Analytics
15-2051.01,Business Intelligence Analysts,Transact-SQL,Data base user interface and query software,Y,N,Data Analytics
15-2051.02,Clinical Data Managers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
15-2051.02,Clinical Data Managers,Structured query language SQL,Data base user interface and query software,Y,Y,Data Analytics
15-2099.01,Bioinformatics Technicians,Microsoft SQL Server,Data base management system software,Y,N,Data Analytics
15-2099.01,Bioinformatics Technicians,MySQL,Data base user interface and query software,Y,N,Data Analytics
15-2099.01,Bioinformatics Technicians,Python,Object or component oriented development software,Y,N,Data Analytics
15-2099.01,Bioinformatics Technicians,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-1011.00,"Architects, Except Landscape and Naval",Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
17-1011.00,"Architects, Except Landscape and Naval",NoSQL,Data base management system software,Y,N,Data Analytics
17-1011.00,"Architects, Except Landscape and Naval",PostgreSQL,Object oriented data base management software,Y,N,Data Analytics
17-1021.00,Cartographers and Photogrammetrists,Python,Object or component oriented development software,Y,N,Data Analytics
17-1021.00,Cartographers and Photogrammetrists,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-1022.01,Geodetic Surveyors,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-2011.00,Aerospace Engineers,Python,Object or component oriented development software,Y,Y,Data Analytics
17-2011.00,Aerospace Engineers,Structure query language SQL,Data base user interface and query software,N,N,Data Analytics
17-2031.00,Bioengineers and Biomedical Engineers,Python,Object or component oriented development software,Y,Y,Data Analytics
17-2031.00,Bioengineers and Biomedical Engineers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-2041.00,Chemical Engineers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-2051.01,Transportation Engineers,Python,Object or component oriented development software,Y,N,Data Analytics
17-2051.01,Transportation Engineers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-2051.02,Water/Wastewater Engineers,Python,Object or component oriented development software,Y,N,Data Analytics
17-2051.02,Water/Wastewater Engineers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-2061.00,Computer Hardware Engineers,Python,Object or component oriented development software,Y,Y,Data Analytics
17-2061.00,Computer Hardware Engineers,Structured query language SQL,Data base user interface and query software,Y,N,Data Analytics
17-2071.00,Electrical Engineers,Microsoft SQL Server,Data base user interface and query software,Y,N,Data Analytics
17-2071.00,Electrical Engineers,Python,Object or component oriented development software,Y,Y,Data Analytics
